STATION_ID,LONGITUDE,LATITUDE,bairdi,bkc,ei,hybrid,opilio,rkc,TYPE
L-25,-173,58.67,West 166,BKC Unstratified,Northern Unstratified,Single,Single,Northern Unstratified,standard
L-26,-173.63,58.67,West 166,BKC Unstratified,Northern Unstratified,Single,Single,Northern Unstratified,standard
L-27,-174.27,58.67,West 166,BKC Unstratified,Northern Unstratified,Single,Single,Northern Unstratified,standard
L-28,-174.9,58.67,West 166,BKC Unstratified,Northern Unstratified,Single,Single,Northern Unstratified,standard
L-29,-175.55,58.67,West 166,BKC Unstratified,Northern Unstratified,Single,Single,Northern Unstratified,standard
L-30,-176.2,58.67,West 166,BKC Unstratified,Northern Unstratified,Single,Single,Northern Unstratified,standard
L-31,-176.83,58.67,West 166,BKC Unstratified,Northern Unstratified,Single,Single,Northern Unstratified,standard
LK2423,-172.03,58.5,West 166,BKC Unstratified,Northern Unstratified,Single,Single,Northern Unstratified,misc
LK2524,-172.68,58.5,West 166,BKC Unstratified,Northern Unstratified,Single,Single,Northern Unstratified,misc
LK2625,-173.3,58.5,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,misc
LK2726,-173.93,58.5,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,misc
M-01,-167.88,59,West 166,BKC Unstratified,Northern Unstratified,Single,Single,Northern Unstratified,standard
M-02,-167.23,59,West 166,BKC Unstratified,Northern Unstratified,Single,Single,Northern Unstratified,standard
M-03,-166.58,59,West 166,BKC Unstratified,Northern Unstratified,Single,Single,Northern Unstratified,standard
M-04,-165.93,59,East 166,BKC Unstratified,Northern Unstratified,Single,Single,Northern Unstratified,standard
M-05,-165.3,59,East 166,BKC Unstratified,Northern Unstratified,Single,Single,Northern Unstratified,standard
M-06,-164.65,59,East 166,BKC Unstratified,Northern Unstratified,Single,Single,Northern Unstratified,standard
M-07,-164,59,East 166,BKC Unstratified,Northern Unstratified,Single,Single,Northern Unstratified,standard
M-08,-163.35,59,East 166,BKC Unstratified,Northern Unstratified,Single,Single,Northern Unstratified,standard
M-18,-168.53,59,West 166,BKC Unstratified,Northern Unstratified,Single,Single,Northern Unstratified,standard
M-19,-169.18,59,West 166,BKC Unstratified,Northern Unstratified,Single,Single,Northern Unstratified,standard
M-20,-169.83,59,West 166,BKC Unstratified,Northern Unstratified,Single,Single,Northern Unstratified,standard
M-21,-170.48,59,West 166,BKC Unstratified,Northern Unstratified,Single,Single,Northern Unstratified,standard
M-22,-171.13,59,West 166,BKC Unstratified,Northern Unstratified,Single,Single,Northern Unstratified,standard
M-23,-171.78,59,West 166,BKC Unstratified,Northern Unstratified,Single,Single,Northern Unstratified,standard
M-24,-172.43,59,West 166,St. Matthew Single,Northern Unstratified,Single,Single,Northern Unstratified,standard
M-25,-173.08,59,West 166,St. Matthew Single,Northern Unstratified,Single,Single,Northern Unstratified,standard
M-26,-173.72,59,West 166,St. Matthew Single,Northern Unstratified,Single,Single,Northern Unstratified,standard
